0,48,43
0,53,45
0,51,46
1,54,49
0,54,48
1,56,53
0,59,55
2,63,55
2,71,58
8,80,60
25,103,0
30,118,0
36,128,0
39,140,0
38,150,0
45,157,0
47,159,0
45,160,0
45,159,0
45,159,0
45,157,0
41,150,0
39,143,0
34,138,0
33,134,0
31,129,0
27,123,0
29,123,0
29,118,0
25,114,0
22,109,0
18,104,0
12,101,0
9,93,67
1,88,69
7,84,66
4,81,61
4,79,62
3,82,63
2,79,63
3,78,61
2,79,61
4,78,61
2,77,57
1,73,61
0,69,54
4,65,50
1,63,52
1,60,52
0,57,50
